Name,Right Ascension,Declination,Apparent Magnitude,Constellation
28 Lyncis,08h 07m 09.95s,+43° 15′ 37.6″,6.35,Lynx
HD 63586,07h 52m 36.45s,+55° 12′ 34.4″,6.36,Lynx
HD 64958,07h 58m 16.53s,+43° 58′ 38.5″,6.36,Lynx
HD 52860,07h 05m 08.99s,+47° 46′ 30.2″,6.37,Lynx
CC Lyncis,07h 35m 56.00s,+43° 01′ 51.9″,6.37,Lynx
HD 77093,09h 01m 40.79s,+39° 42′ 49.3″,6.39,Lynx
HD 52708,07h 06m 01.21s,+59° 48′ 06.7″,6.4,Lynx
HD 59826,07h 33m 24.83s,+37° 11′ 16.4″,6.4,Lynx
HD 58681,07h 28m 52.66s,+46° 18′ 53.2″,6.42,Lynx
HD 59721,07h 33m 51.53s,+51° 18′ 51.1″,6.44,Lynx
7 Lyncis,06h 34m 32.80s,+55° 21′ 10.9″,6.45,Lynx
HD 44061,06h 23m 06.37s,+56° 58′ 35.5″,6.47,Lynx
HD 67539,08h 11m 18.03s,+54° 32′ 25.7″,6.48,Lynx
54 Camelopardalis,08h 02m 35.82s,+57° 16′ 25.6″,6.49,Lynx
HD 63588,07h 51m 15.34s,+37° 04′ 55.8″,6.49,Lynx
HD 63630,07h 52m 03.89s,+45° 55′ 59.2″,6.5,Lynx
HD 65392,07h 59m 51.39s,+36° 04′ 55.5″,6.5,Lynx
HD 69682,08h 20m 29.16s,+53° 34′ 27.7″,6.5,Lynx
17 Lyncis,07h 09m 37.78s,+60° 47′ 31.9″,6.64,Lynx
52 Camelopardalis,07h 56m 26.71s,+56° 30′ 16.0″,6.72,Lynx
HD 71866,08h 31m 10.64s,+40° 13′ 29.6″,6.72,Lynx
46 Camelopardalis,07h 19m 52.83s,+59° 15′ 10.3″,6.73,Lynx
HD 82780,09h 35m 22.50s,+39° 57′ 47.8″,6.79,Lynx
19 Lyncis,07h 22m 50.85s,+55° 17′ 03.8″,6.86,Lynx
Y Lyncis,07h 28m 11.62s,+45° 59′ 26.2″,6.98,Lynx
3 Lyncis,06h 22m 08.10s,+61° 45′ 37.0″,7.2,Lynx
48 Camelopardalis,07h 39m 58.60s,+59° 33′ 47.9″,7.23,Lynx
R Lyncis,07h 01m 18.01s,+55° 19′ 49.8″,7.56,Lynx
44 Camelopardalis,07h 16m 36.23s,+58° 55′ 07.4″,7.57,Lynx
45 Camelopardalis,07h 19m 12.18s,+59° 07′ 32.5″,7.62,Lynx
HD 80715,09h 22m 25.95s,+40° 12′ 03.8″,7.72,Lynx
20 Lyncis,07h 22m 13.63s,+50° 08′ 52.1″,7.72,Lynx
HD 75898,08h 53m 50.81s,+33° 03′ 24.5″,8.04,Lynx
T Lyncis,08h 22m 42.85s,+33° 31′ 09.5″,8.8,Lynx
BE Lyncis,09h 18m 17.18s,+46° 09′ 11.3″,8.8,Lynx
SZ Lyncis,08h 09m 35.75s,+44° 28′ 17.6″,9.08,Lynx
TT Lyncis,09h 03m 07.79s,+44° 35′ 08.1″,9.51,Lynx
UV Lyncis,09h 03m 24.12s,+38° 05′ 54.6″,9.56,Lynx
SW Lyncis,08h 07m 41.57s,+41° 48′ 01.7″,9.65,Lynx
WASP-13,09h 20m 25.0s,+33° 52′ 57″,10.42,Lynx
AN Lyncis,09h 14m 28.69s,42° 46′ 38.2″,10.58,Lynx
XO-4,07h 21m 33s,+58° 16′ 05″,10.7,Lynx
IRC +60169,06h 34m 33.92s,+60° 56′ 26.2″,10.9,Lynx
14 Lyncis,06h 53m 36.00s,+59° 24′ 25.0″,11.1,Lynx
XO-2 (star),07h 48m 07s,+50° 13′ 33″,11.18,Lynx
U Lyncis,06h 40m 46.49s,+59° 52′ 01.6″,11.52,Lynx
TV Lyncis,07h 33m 31.73s,+47° 48′ 09.8″,11.54,Lynx
UU Lyncis,09h 15m 31.00s,+42° 42′ 12.0″,11.54,Lynx
XO-5,07h 46m 52s,+39° 05′ 41″,12.13,Lynx
BK Lyncis,09h 20m 11.20s,+33° 56′ 42.3″,14.49,Lynx
Vega,18h 36m 56.19s,+38° 46′ 58.8″,0.03,Lyra
Gamma Lyrae,18h 58m 56.62s,+32° 41′ 22.4″,3.25,Lyra
Beta Lyrae,18h 50m 04.79s,+33° 21′ 45.6″,3.52,Lyra
R Lyrae,18h 55m 20.09s,+43° 56′ 45.2″,4.08,Lyra
Delta2 Lyrae,18h 54m 30.29s,+36° 53′ 55.0″,4.22,Lyra
Kappa Lyrae,18h 19m 51.72s,+36° 03′ 52.0″,4.33,Lyra
Zeta1 Lyrae,18h 44m 46.34s,+37° 36′ 18.2″,4.34,Lyra
Theta Lyrae,19h 16m 22.10s,+38° 08′ 01.4″,4.35,Lyra
Eta Lyrae,19h 13m 45.49s,+39° 08′ 45.5″,4.43,Lyra
Epsilon2 Lyrae,18h 44m 22.78s,+39° 36′ 45.3″,4.6,Lyra
Epsilon1 Lyrae,18h 44m 20.34s,+39° 40′ 11.9″,4.67,Lyra
HD 173780,18h 46m 04.47s,+26° 39′ 43.5″,4.83,Lyra
Lambda Lyrae,19h 00m 00.82s,+32° 08′ 43.8″,4.94,Lyra
16 Lyrae,19h 01m 26.36s,+46° 56′ 06.1″,5.0,Lyra
Mu Lyrae,18h 24m 13.80s,+39° 30′ 26.1″,5.11,Lyra
HD 176051,18h 57m 01.47s,+32° 54′ 05.8″,5.2,Lyra
17 Lyrae,19h 07m 25.50s,+32° 30′ 06.0″,5.2,Lyra
Nu2 Lyrae,18h 49m 52.92s,+32° 33′ 03.9″,5.22,Lyra
Iota Lyrae,19h 07m 18.13s,+36° 06′ 00.6″,5.25,Lyra
HD 176527,18h 59m 45.43s,+26° 13′ 49.6″,5.26,Lyra
Epsilon2 Lyrae,18h 44m 22.90s,+39° 36′ 46.0″,5.37,Lyra
HD 172044,18h 36m 37.35s,+33° 28′ 08.5″,5.41,Lyra
HD 175740,18h 54m 52.18s,+41° 36′ 09.8″,5.46,Lyra
HD 171301,18h 32m 49.95s,+30° 33′ 15.1″,5.47,Lyra
HD 178233,19h 06m 37.68s,+28° 37′ 42.2″,5.53,Lyra
HD 167965,18h 15m 38.78s,+42° 09′ 33.6″,5.56,Lyra
Delta1 Lyrae,18h 53m 43.56s,+36° 58′ 18.2″,5.58,Lyra
HD 177808,19h 04m 57.82s,+31° 44′ 39.3″,5.63,Lyra
HD 175443,18h 54m 13.25s,+27° 54′ 34.9″,5.64,Lyra
HD 173417,18h 43m 51.61s,+31° 55′ 36.9″,5.68,Lyra
HD 176871,19h 01m 17.36s,+26° 17′ 29.2″,5.69,Lyra
Zeta2 Lyrae,18h 44m 48.19s,+37° 35′ 40.4″,5.73,Lyra
HD 182694,19h 23m 56.49s,+43° 23′ 17.7″,5.85,Lyra
HD 180450,19h 15m 24.84s,+30° 31′ 35.2″,5.88,Lyra
V542 Lyrae,18h 58m 01.90s,+38° 15′ 58.3″,5.89,Lyra
Nu1 Lyrae,18h 49m 45.91s,+32° 48′ 46.2″,5.93,Lyra
19 Lyrae,19h 11m 46.01s,+31° 17′ 00.5″,5.93,Lyra
HD 175635,18h 54m 52.52s,+33° 58′ 06.9″,5.99,Lyra
XY Lyrae,18h 38m 06.47s,+39° 40′ 05.9″,6.02,Lyra
Epsilon1 Lyrae,18h 44m 20.30s,+39° 40′ 16.0″,6.02,Lyra
HD 176896,19h 00m 55.20s,+33° 48′ 07.7″,6.04,Lyra
HD 173416,18h 43m 36.11s,+36° 33′ 23.8″,6.06,Lyra
HD 173936,18h 46m 13.01s,+41° 26′ 30.5″,6.06,Lyra
HD 174179,18h 47m 57.37s,+31° 45′ 24.6″,6.06,Lyra
HD 177809,19h 04m 58.27s,+30° 44′ 00.4″,6.07,Lyra
HD 182272,19h 22m 33.35s,+33° 31′ 05.6″,6.09,Lyra
HD 171780,18h 35m 13.50s,+34° 27′ 28.8″,6.1,Lyra
HD 174959,18h 51m 36.52s,+36° 32′ 20.8″,6.1,Lyra
HD 168322,18h 17m 06.95s,+40° 56′ 11.7″,6.12,Lyra
V473 Lyrae,19h 15m 59.49s,+27° 55′ 34.7″,6.18,Lyra
V543 Lyrae,18h 58m 46.59s,+40° 40′ 45.1″,6.2,Lyra
HD 179583,19h 11m 23.16s,+40° 25′ 45.0″,6.2,Lyra
V533 Lyrae,18h 36m 45.53s,+43° 13′ 18.6″,6.21,Lyra
HD 174881,18h 51m 35.89s,+28° 47′ 01.2″,6.22,Lyra
HD 172671,18h 39m 33.03s,+40° 56′ 06.2″,6.25,Lyra
HD 181470,19h 19m 01.15s,+37° 26′ 43.1″,6.25,Lyra
HD 175132,18h 52m 07.25s,+41° 22′ 59.7″,6.28,Lyra
HD 181655,19h 19m 39.04s,+37° 19′ 51.5″,6.29,Lyra
HD 168009,18h 15m 32.53s,+45° 12′ 34.5″,6.3,Lyra
HD 181828,19h 20m 33.05s,+35° 11′ 09.4″,6.3,Lyra
HR 7403,19h 27m 36.40s,+37° 56′ 28.3″,6.3,Lyra
HD 178003,19h 05m 47.13s,+29° 55′ 18.1″,6.32,Lyra
HD 179422,19h 11m 30.96s,+26° 44′ 09.4″,6.35,Lyra
Gliese 758,19h 23m 34.01s,+33° 13′ 19.1″,6.37,Lyra
HD 177109,19h 01m 48.37s,+33° 37′ 16.5″,6.39,Lyra
HD 169646,18h 23m 57.27s,+38° 44′ 21.0″,6.41,Lyra
HD 172958,18h 41m 41.31s,+31° 37′ 03.3″,6.41,Lyra
HD 172631,18h 40m 01.93s,+30° 50′ 57.8″,6.43,Lyra
HD 176582,18h 59m 12.29s,+39° 13′ 02.4″,6.43,Lyra
HD 182635,19h 24m 06.05s,+36° 27′ 06.9″,6.44,Lyra
HD 172741,18h 40m 12.19s,+38° 22′ 01.8″,6.45,Lyra
HD 173383,18h 43m 16.57s,+39° 18′ 00.3″,6.45,Lyra
V550 Lyrae,19h 06m 17.00s,+41° 24′ 50.0″,6.49,Lyra
HD 173087,18h 42m 08.09s,+34° 44′ 46.7″,6.49,Lyra
HD 180314,19h 14m 50.21s,+31° 51′ 37.3″,6.61,Lyra
HD 178911,19h 09m 04.38s,+34° 36′ 01.6″,6.74,Lyra
HD 181068,19h 17m 08.98s,+41° 15′ 53.3″,7.09,Lyra
RR Lyrae,19h 25m 27.91s,+42° 47′ 03.7″,7.13,Lyra
HD 177830,19h 05m 20.77s,+25° 55′ 14.4″,7.18,Lyra
Beta Lyrae,18h 50m 06.60s,+33° 21′ 05.0″,7.2,Lyra
W Lyrae,18h 14m 55.88s,+36° 40′ 13.2″,7.3,Lyra
V478 Lyrae,19h 07m 32.39s,+30° 15′ 16.2″,7.63,Lyra
HK Lyrae,18h 42m 50.00s,+36° 57′ 30.9″,7.65,Lyra
T Lyrae,18h 32m 20.10s,+39° 59′ 55.6″,7.84,Lyra
V Lyrae,19h 09m 04.55s,+29° 39′ 29.3″,8.2,Lyra
Kepler-444,19h 19m 01s,41° 38′ 05″,9.0,Lyra
FL Lyrae,19h 12m 04.86s,+46° 19′ 26.9″,9.36,Lyra
Kepler-37,18h 58m 23.1s,+44° 31′ 05″,9.77,Lyra
S Lyrae,19h 13m 11.80s,+26° 00′ 27.8″,9.8,Lyra
EP Lyrae,19h 18m 19.55s,+27° 51′ 03.2″,9.96,Lyra
Kepler-13,19h 07m 53.0s,+46° 52′ 06″,10.0,Lyra
KX Lyrae,18h 33m 15.23s,+40° 10′ 22.7″,10.38,Lyra
UZ Lyrae,19h 21m 08.91s,+37° 56′ 11.5″,10.4,Lyra
HP Lyrae,19h 21m 39.07s,+39° 56′ 08.1″,10.43,Lyra
WASP-3,18h 34m 31.62s,+35° 39′ 41.5″,10.49,Lyra
TT Lyrae,19h 27m 36.30s,+41° 42′ 05.4″,10.88,Lyra
Kepler-25,19h 06m 33.0s,+39° 29′ 16″,11.0,Lyra
Kepler-65,19h 14m 45.3s,+41° 09′ 04.2″,11.018,Lyra
TZ Lyrae,18h 15m 49.67s,+41° 06′ 37.9″,11.16,Lyra
EZ Lyrae,18h 47m 40.32s,+35° 59′ 34.2″,11.34,Lyra
CN Lyrae,18h 41m 15.95s,+28° 43′ 21.1″,11.38,Lyra
Kepler-128,18h 49m 58.0s,+43° 58′ 49″,11.4,Lyra
RV Lyrae,19h 16m 17.97s,+32° 25′ 15.0″,11.47,Lyra
Kepler-102,18h 45m 55.9s,+47° 12′ 29″,11.49,Lyra
RZ Lyrae,18h 43m 37.88s,+32° 47′ 54.0″,11.57,Lyra
Kepler-131,19h 14m 07.4s,+40° 56′ 32″,11.53,Lyra
Kepler-454,19h 09m 55.0s,+38° 13′ 44″,11.57,Lyra
Kepler-92,19h 16m 21.0s,+41° 33′ 47″,11.6,Lyra
WASP-58,18h 18m 48.0s,+45° 10′ 19″,11.66,Lyra
V404 Lyrae,19h 19m 05.95s,+38° 22′ 00.5″,11.77,Lyra
GSC 02652-01324,19h 04m 09.84s,+36° 37′ 57.5″,11.79,Lyra
HAT-P-5,18h 17m 37.30s,+36° 37′ 16.9″,11.95,Lyra
Kepler-103,19h 15m 26.3s,+40° 03′ 52″,12.29,Lyra
Kepler-95,18h 57m 55.8s,+44° 23′ 53″,12.35,Lyra
Kepler-109,19h 21m 34.2s,+40° 17′ 06″,12.37,Lyra
CC Lyrae,18h 33m 57.41s,+31° 38′ 24.2″,12.46,Lyra
Kepler-20,19h 10m 48.0s,+42° 20′ 19″,12.5,Lyra
Kepler-94,18h 44m 46.7s,+47° 29′ 50″,12.9,Lyra
Kepler-91,19h 02m 41.0s,+44° 07′ 00″,12.9,Lyra
Kepler-7,19h 14m 19.56s,+41° 05′ 23.3″,13.3,Lyra
Kepler-277,19h 06m 20.0s,+39° 04′ 38″,13.4,Lyra
Beta Lyrae,18h 50m 01.20s,+33° 21′ 26.0″,13.4,Lyra
Kepler-138,19h 21m 32.0s,+43° 17′ 35″,13.5,Lyra
Kepler-88,19h 24m 36.0s,+40° 40′ 10″,13.5,Lyra
Kepler-422,18h 50m 31.1s,+46° 19′ 24″,13.64,Lyra
Kepler-279,19h 09m 34.0s,+42° 11′ 42″,13.7,Lyra
Kepler-412,19h 04m 26.0s,+43° 40′ 51″,13.73,Lyra
Kepler-62,18h 52m 51.0s,+45° 20′ 60″,13.75,Lyra
Kepler-350,19h 01m 41.0s,+39° 42′ 22″,13.8,Lyra
Kepler-8,18h 45m 09.15s,+42° 27′ 03.9″,13.9,Lyra
Kepler-9,19h 02m 18s,+38° 24′ 03″,13.9,Lyra
Kepler-43,19h 00m 58.0s,+46° 40′ 06″,14.0,Lyra
Kepler-460,19h 13m 54.0s,+40° 39′ 05″,14.2,Lyra
Kepler-38,19h 07m 19.0s,+42° 16′ 45″,14.3,Lyra
Kepler-60,19h 15m 51.0s,+42° 15′ 54″,14.5,Lyra
Kepler-423,19h 31m 25.4s,+46° 23′ 28″,14.5,Lyra
Kepler-59,19h 08m 09.0s,+46° 38′ 24″,14.8,Lyra
Kepler-438,18h 46m 35.0s,+41° 57′ 04″,15.0,Lyra
Kepler-439,18h 43m 12.0s,+44° 02′ 02″,15.0,Lyra
Kepler-75,19h 24m 33.0s,+36° 34′ 39″,15.0,Lyra
Kepler-177,19h 04m 11.0s,45° 03′ 12″,15.0,Lyra
V477 Lyrae,18h 31m 18.29s,+26° 56′ 12.9″,15.07,Lyra
Kepler-282,18h 58m 43.0s,+44° 47′ 51″,15.2,Lyra
Kepler-442,19h 01m 28.0s,+39° 16′ 48″,15.3,Lyra
Kepler-440,19h 01m 24.0s,+41° 27′ 08″,15.5,Lyra
Kepler-24,19h 21m 39s,+38° 20′ 38″,15.5,Lyra
Kepler-30,19h 01m 08.0s,+38° 56′ 50″,15.5,Lyra
Kepler-26,18h 59m 46s,+46° 34′ 00″,16.0,Lyra
Kepler-53,19h 21m 51.0s,+40° 33′ 45″,16.0,Lyra
Kepler-55,19h 00m 40.0s,+44° 01′ 35″,16.3,Lyra
Kepler-446,18h 49m 00.0s,+44° 55′ 16″,16.5,Lyra
Kepler-83,18h 48m 55.8s,+43° 39′ 56″,16.51,Lyra
HR Lyrae,18h 53m 25.05s,+29° 13′ 37.7″,16.6,Lyra
CY Lyrae,18h 52m 41.38s,+26° 45′ 31.5″,18.0,Lyra
DM Lyrae,18h 58m 44.43s,+30° 15′ 33.0″,18.0,Lyra
2MASS 1835+3259,18h 35m 39.90s,+32° 59′ 54.6″,18.27,Lyra
V344 Lyrae,18h 44m 39.18s,+43° 22′ 28.1″,19.0,Lyra
Alpha Mensae,06h 10m 14.20s,-74° 45′ 09.1″,5.08,Mensa
Gamma Mensae,05h 31m 52.66s,-76° 20′ 30.0″,5.18,Mensa
Beta Mensae,05h 02m 43.00s,-71° 18′ 51.6″,5.3,Mensa
Theta Mensae,06h 56m 34.48s,-79° 25′ 12.7″,5.45,Mensa
Kappa Mensae,05h 50m 16.80s,-79° 21′ 41.5″,5.46,Mensa
Eta Mensae,04h 55m 11.14s,-74° 56′ 13.2″,5.47,Mensa
Mu Mensae,04h 43m 03.95s,-70° 55′ 52.0″,5.53,Mensa
Epsilon Mensae,07h 25m 38.19s,-79° 05′ 39.1″,5.54,Mensa
Zeta Mensae,06h 40m 02.91s,-80° 48′ 49.4″,5.61,Mensa
Pi Mensae,05h 37m 08.79s,-80° 28′ 18.0″,5.65,Mensa
Delta Mensae,04h 17m 59.18s,-80° 12′ 51.1″,5.67,Mensa
HD 22676,03h 29m 58.93s,-78° 21′ 06.4″,5.68,Mensa
Nu Mensae,04h 20m 58.03s,-81° 34′ 48.8″,5.78,Mensa
WX Mensae,05h 34m 44.78s,-73° 44′ 28.9″,5.79,Mensa
Xi Mensae,04h 58m 50.99s,-82° 28′ 13.9″,5.84,Mensa
Iota Mensae,05h 35m 36.13s,-78° 49′ 15.2″,6.04,Mensa
HD 30479,04h 38m 21.74s,-77° 39′ 21.5″,6.05,Mensa
TZ Mensae,05h 30m 13.93s,-84° 47′ 06.8″,6.18,Mensa
HD 33875,05h 06m 09.26s,-73° 02′ 16.2″,6.26,Mensa
HD 31975,04h 53m 05.73s,-72° 24′ 30.0″,6.28,Mensa
HD 23474,03h 36m 30.18s,-78° 19′ 23.1″,6.29,Mensa
HD 33519,05h 00m 13.29s,-78° 18′ 00.0″,6.29,Mensa
HD 35184,05h 15m 24.88s,-73° 35′ 18.6″,6.49,Mensa
Lambda Mensae,05h 47m 48.15s,-72° 42′ 08.3″,6.54,Mensa
HD 38283,05h 37m 02s,-73° 41′ 58″,6.7,Mensa
YY Mensae,04h 58m 17.94s,-75° 16′ 38.0″,8.05,Mensa
HD 39194,05h 44m 32s,-70° 08′ 37″,8.08,Mensa
UX Mensae,05h 30m 03.18s,-76° 14′ 55.4″,8.24,Mensa
TY Mensae,05h 26m 49.73s,-81° 35′ 07.2″,8.26,Mensa
R71 (star),05h 02m 07.39s,-71° 20′ 13.11″,10.55,Mensa
HDE 268835,04h 56m 47.08s,-69° 50′ 24.79″,10.66,Mensa
TU Mensae,04h 41m 40.70s,-76° 36′ 45.8″,11.6,Mensa
HV 2257,04h 58m 10.80s,-69° 56′ 59.0″,12.5,Mensa
AH Mensae,06h 11m 43.95s,-81° 49′ 22.7″,13.15,Mensa
W Mensae,05h 26m 24.52s,-71° 11′ 11.8″,13.8,Mensa
RX J0513.9-6952,05h 13m 50.81s,-69° 51′ 46.7″,17.0,Mensa
Gamma Microscopii,21h 01m 17.46s,-32° 15′ 28.0″,4.67,Microscopium
Epsilon Microscopii,21h 17m 56.25s,-32° 10′ 20.9″,4.71,Microscopium
Theta1 Microscopii,21h 20m 45.58s,-40° 48′ 34.2″,4.8,Microscopium
Alpha Microscopii,20h 49m 58.08s,-33° 46′ 46.8″,4.89,Microscopium
Iota Microscopii,20h 48m 29.00s,-43° 59′ 17.8″,5.11,Microscopium
Nu Microscopii,20h 33m 55.06s,-44° 30′ 57.5″,5.12,Microscopium
2 Piscis Austrini,21h 06m 24.68s,-32° 20′ 29.9″,5.2,Microscopium
HD 201772,21h 13m 02.93s,-39° 25′ 28.7″,5.25,Microscopium
Zeta Microscopii,21h 02m 57.97s,-38° 37′ 52.3″,5.32,Microscopium
HD 198716,20h 53m 40.15s,-39° 48′ 34.7″,5.34,Microscopium
3 Piscis Austrini,21h 13m 17.27s,-27° 37′ 08.6″,5.41,Microscopium
HD 196737,20h 40m 19.81s,-33° 25′ 54.9″,5.47,Microscopium
HD 197630,20h 46m 20.03s,-39° 11′ 57.1″,5.48,Microscopium
HD 204018,21h 27m 01.66s,-42° 32′ 52.7″,5.5,Microscopium
HD 198357,20h 51m 00.76s,-37° 54′ 47.8″,5.52,Microscopium
Eta Microscopii,21h 06m 25.50s,-41° 23′ 09.4″,5.55,Microscopium
HD 203949,21h 26m 22.75s,-37° 49′ 45.9″,5.64,Microscopium
Delta Microscopii,21h 06m 01.12s,-30° 07′ 29.8″,5.69,Microscopium
HD 196917,20h 41m 23.58s,-31° 35′ 53.3″,5.75,Microscopium
Theta2 Microscopii,21h 24m 24.80s,-41° 00′ 24.1″,5.76,Microscopium
HD 201647,21h 12m 13.67s,-40° 16′ 07.8″,5.83,Microscopium
HD 200073,21h 02m 27.05s,-38° 31′ 50.0″,5.93,Microscopium
HD 201852,21h 13m 18.94s,-36° 25′ 24.7″,5.97,Microscopium
Beta Microscopii,20h 51m 58.76s,-33° 10′ 40.7″,6.06,Microscopium
HD 194783,20h 28m 46.74s,-35° 35′ 44.9″,6.09,Microscopium
HD 199684,20h 59m 59.62s,-36° 07′ 46.2″,6.1,Microscopium
HD 202287,21h 15m 46.76s,-36° 12′ 38.5″,6.13,Microscopium
HD 202135,21h 15m 14.31s,-40° 30′ 21.9″,6.2,Microscopium
HD 196748,20h 40m 55.61s,-42° 23′ 48.2″,6.25,Microscopium
HD 200245,21h 03m 10.17s,-27° 43′ 53.4″,6.25,Microscopium
AV Microscopii,20h 41m 24.63s,-42° 08′ 01.3″,6.28,Microscopium
HD 197093,20h 42m 52.95s,-39° 33′ 31.7″,6.3,Microscopium
HD 195206,20h 30m 56.79s,-29° 06′ 45.5″,6.35,Microscopium
HD 198751,20h 53m 24.94s,-30° 43′ 08.1″,6.35,Microscopium
HD 195902,20h 35m 47.82s,-44° 20′ 15.5″,6.36,Microscopium
HD 202773,21h 18m 54.32s,-28° 45′ 56.4″,6.4,Microscopium
BY Microscopii,20h 54m 06.58s,-27° 55′ 30.7″,6.41,Microscopium
HD 195843,20h 34m 47.38s,-30° 28′ 24.3″,6.42,Microscopium
HD 198356,20h 50m 47.15s,-32° 03′ 16.0″,6.42,Microscopium
HD 195814,20h 34m 55.46s,-38° 05′ 23.5″,6.45,Microscopium
HD 197900,20h 48m 18.36s,-44° 11′ 48.1″,6.47,Microscopium
HD 201242,21h 09m 22.31s,-36° 42′ 20.2″,6.47,Microscopium
HD 197649,20h 46m 18.58s,-36° 07′ 12.1″,6.49,Microscopium
Lacaille 8760,21h 17m 15.3s,-38° 52′ 02″,6.68,Microscopium
HD 202628,21h 18m 27.27s,-43° 20′ 04.7″,6.75,Microscopium
AU Microscopii,20h 45m 09.53s,-31° 20′ 27.2″,8.63,Microscopium
HD 203932,21h 26m 03.87s,-29° 55′ 44.1″,8.81,Microscopium
HD 202759,21h 19m 05.92s,-33° 55′ 07.9″,9.05,Microscopium
BO Microscopii,20h 47m 45.01s,-36° 35′ 40.8″,9.34,Microscopium
V Microscopii,21h 23m 48.77s,-40° 42′ 05.12″,9.4,Microscopium
ZZ Microscopii,21h 00m 35.20s,-42° 39′ 20.3″,9.43,Microscopium
WASP-7,20h 44m 10.21s,-39° 13′ 30.8″,9.54,Microscopium
WASP-94,20h 55m 07.9s,-34° 08′ 08″,10.1,Microscopium
AT Microscopii,20h 41m 50.16s,-32° 26′ 06.8″,10.36,Microscopium
WASP-94,20h 55m 09.2s,-34° 08′ 08″,10.5,Microscopium
CD-43 14304,21h 00m 06.36s,-42° 38′ 44.9″,11.0,Microscopium
WASP-133,20h 58m 18.0s,-35° 47′ 48″,12.9,Microscopium
WASP-92,20h 55m 08.0s,-34° 08′ 08″,13.18,Microscopium
Alpha Monocerotis,07h 41m 14.88s,-09° 33′ 03.9″,3.94,Monoceros
Gamma Monocerotis,06h 14m 51.34s,-06° 16′ 29.0″,3.99,Monoceros
Delta Monocerotis,07h 11m 51.86s,-00° 29′ 34.0″,4.15,Monoceros
Zeta Monocerotis,08h 08m 35.66s,-02° 59′ 01.6″,4.36,Monoceros
Epsilon Monocerotis,06h 23m 46.10s,+04° 35′ 34.2″,4.39,Monoceros
13 Monocerotis,06h 32m 54.23s,+07° 19′ 58.7″,4.47,Monoceros
18 Monocerotis,06h 47m 51.66s,+02° 24′ 43.9″,4.48,Monoceros
Beta Monocerotis,06h 28m 49.07s,-07° 01′ 59.0″,4.6,Monoceros
S Monocerotis,06h 40m 58.66s,+09° 53′ 44.7″,4.66,Monoceros
28 Monocerotis,08h 01m 13.30s,-01° 23′ 32.7″,4.68,Monoceros
17 Monocerotis,06h 47m 19.84s,+08° 02′ 14.2″,4.77,Monoceros
20 Monocerotis,07h 10m 13.68s,-04° 14′ 15.5″,4.91,Monoceros
3 Monocerotis,06h 01m 50.43s,-10° 35′ 52.6″,4.92,Monoceros
27 Monocerotis,07h 59m 44.18s,-03° 40′ 46.5″,4.93,Monoceros
19 Monocerotis,07h 02m 54.78s,-04° 14′ 21.3″,4.99,Monoceros
2 Monocerotis,05h 59m 04.31s,-09° 33′ 29.3″,5.04,Monoceros
HD 42690,06h 11m 51.82s,-06° 33′ 01.0″,5.06,Monoceros
10 Monocerotis,06h 27m 57.57s,-04° 45′ 43.7″,5.06,Monoceros
HD 49331,06h 47m 37.22s,-08° 59′ 54.6″,5.08,Monoceros
HD 46487,06h 33m 37.92s,-01° 13′ 12.4″,5.09,Monoceros
25 Monocerotis,07h 37m 16.73s,-04° 06′ 39.7″,5.13,Monoceros
HR 2142,06h 04m 13.50s,-06° 42′ 32.2″,5.19,Monoceros
77 Orionis,06h 27m 13.76s,+00° 17′ 57.4″,5.19,Monoceros
HD 48217,06h 41m 56.37s,-09° 10′ 02.7″,5.21,Monoceros
HD 52666,07h 01m 56.39s,-05° 43′ 19.5″,5.21,Monoceros
HD 46089,06h 31m 48.29s,+11° 32′ 39.6″,5.22,Monoceros
7 Monocerotis,06h 19m 42.80s,-07° 49′ 22.5″,5.27,Monoceros
HD 43993,06h 18m 50.58s,-09° 23′ 23.9″,5.36,Monoceros
HD 41692,06h 06m 38.74s,-04° 11′ 37.8″,5.37,Monoceros
Beta Monocerotis,06h 28m 49.50s,-07° 02′ 04.0″,5.4,Monoceros
HD 46229,06h 31m 50.07s,-08° 09′ 29.5″,5.43,Monoceros
21 Monocerotis,07h 11m 23.63s,-00° 18′ 06.9″,5.44,Monoceros
HD 50747,06h 54m 24.66s,-01° 07′ 37.1″,5.45,Monoceros
HD 62902,07h 46m 02.16s,-06° 46′ 20.2″,5.49,Monoceros
HD 47054,06h 36m 35.33s,-05° 12′ 40.0″,5.52,Monoceros
78 Orionis,06h 27m 15.59s,-00° 16′ 33.6″,5.55,Monoceros
HD 45415,06h 27m 20.48s,+02° 54′ 29.7″,5.55,Monoceros
Beta Monocerotis,06h 28m 49.50s,-07° 02′ 04.0″,5.6,Monoceros
HD 46304,06h 32m 23.13s,-05° 52′ 07.4″,5.6,Monoceros
HD 59311,07h 29m 18.68s,-01° 54′ 19.1″,5.6,Monoceros
HD 63752,07h 50m 10.58s,-09° 11′ 00.4″,5.6,Monoceros
HD 53208,07h 04m 05.25s,-05° 19′ 26.3″,5.63,Monoceros
HD 49147,06h 46m 39.02s,-10° 06′ 26.5″,5.66,Monoceros
HD 49434,06h 48m 19.09s,-01° 19′ 07.8″,5.75,Monoceros
HD 49643,06h 49m 16.41s,-02° 16′ 19.3″,5.75,Monoceros
